ItemGroupID,ProductID,ProductName,Category,SubCategory,Style,Material,Color,Size,Price_INR,OriginalPrice_INR,Image_URL,Supports_360_View,Rating,Reviews,Description,Features,Specifications
101,101-SW-K,Platform Bed (Solid Wood, King),Bedroom,Beds,Modern,Solid Wood,Walnut Finish,King,55000,65000,https://picsum.photos/seed/101-swk/800,TRUE,4.8,156,"Modern king-size platform bed with built-in side tables and LED lighting","Built-in Tables,LED Lighting,Storage Drawers,Premium Wood","Dimensions: 183 x 203 x 35 cm, Weight: 85 kg, Warranty: 3 Years"
101,101-SW-Q,Platform Bed (Solid Wood, Queen),Bedroom,Beds,Modern,Solid Wood,Walnut Finish,Queen,52000,61000,https://picsum.photos/seed/101-swq/800,TRUE,4.7,142,"Modern queen-size platform bed with built-in side tables","Built-in Tables,Storage Drawers,Premium Wood","Dimensions: 152 x 203 x 35 cm, Weight: 75 kg, Warranty: 3 Years"
101,101-EW-K,Platform Bed (Engineered Wood, King),Bedroom,Beds,Modern,Engineered Wood,White Laminate,King,42000,48000,https://picsum.photos/seed/101-ewk/800,FALSE,4.5,98,"Affordable king-size platform bed with clean modern design","Storage Drawers,Easy Assembly,Durable Finish","Dimensions: 183 x 203 x 35 cm, Weight: 65 kg, Warranty: 2 Years"
101,101-SW-KO,Platform Bed (Solid Wood, King),Bedroom,Beds,Modern,Solid Wood,Oak Finish,King,58000,68000,https://picsum.photos/seed/101-swko/800,TRUE,4.9,201,"Premium oak finish king-size platform bed with premium features","Built-in Tables,LED Lighting,USB Charging,Premium Oak","Dimensions: 183 x 203 x 35 cm, Weight: 90 kg, Warranty: 5 Years"
101,101-SW-KM,Platform Bed (Solid Wood, King),Bedroom,Beds,Modern,Solid Wood,Mahogany Finish,King,62000,72000,https://picsum.photos/seed/101-swkm/800,TRUE,4.8,178,"Luxury mahogany finish king-size platform bed","Built-in Tables,LED Lighting,Premium Mahogany,Soft Close Drawers","Dimensions: 183 x 203 x 35 cm, Weight: 95 kg, Warranty: 5 Years"

102,102-MW,3-Door Wardrobe (Mirrored),Bedroom,Wardrobes,Contemporary,Engineered Wood,Dark Oak,Large,45000,52000,https://picsum.photos/seed/102-mw/800,FALSE,4.6,134,"Spacious 3-door wardrobe with full-length mirror","Full Mirror,Adjustable Shelves,Hanging Rod,Soft Close","Dimensions: 150 x 58 x 210 cm, Weight: 120 kg, Warranty: 2 Years"
102,102-NM,3-Door Wardrobe (Standard),Bedroom,Wardrobes,Contemporary,Engineered Wood,Dark Oak,Large,43000,50000,https://picsum.photos/seed/102-nm/800,FALSE,4.5,112,"Standard 3-door wardrobe with ample storage","Adjustable Shelves,Hanging Rod,Soft Close,Anti-Sag Technology","Dimensions: 150 x 58 x 210 cm, Weight: 115 kg, Warranty: 2 Years"
102,102-SW-4D,4-Door Wardrobe (Solid Wood),Bedroom,Wardrobes,Traditional,Solid Wood,Teak Finish,Extra Large,85000,98000,https://picsum.photos/seed/102-sw4d/800,TRUE,4.9,87,"Premium solid teak 4-door wardrobe with traditional design","Solid Teak,Brass Hardware,Hand Carved Details,Premium Finish","Dimensions: 200 x 60 x 220 cm, Weight: 180 kg, Warranty: 10 Years"
102,102-MW-WH,3-Door Wardrobe (Mirrored),Bedroom,Wardrobes,Contemporary,Engineered Wood,White High Gloss,Large,47000,54000,https://picsum.photos/seed/102-mwwh/800,FALSE,4.7,156,"Modern white high-gloss wardrobe with mirror","Full Mirror,High Gloss Finish,LED Strip,Soft Close","Dimensions: 150 x 58 x 210 cm, Weight: 125 kg, Warranty: 2 Years"
102,102-SW-SL,Sliding Wardrobe (2-Door),Bedroom,Wardrobes,Modern,Solid Wood,Walnut Finish,Large,65000,75000,https://picsum.photos/seed/102-swsl/800,TRUE,4.8,203,"Space-saving sliding door wardrobe with premium walnut finish","Sliding Doors,Premium Walnut,Soft Close,Interior LED","Dimensions: 180 x 60 x 210 cm, Weight: 140 kg, Warranty: 5 Years"

103,103-DT-SW,Dressing Table (Solid Wood),Bedroom,Dressing Tables,Traditional,Solid Wood,Cherry Finish,Standard,18000,22000,https://picsum.photos/seed/103-dtsw/800,TRUE,4.6,89,"Elegant cherry wood dressing table with large mirror","Large Mirror,Multiple Drawers,Premium Hardware,Traditional Design","Dimensions: 120 x 45 x 160 cm, Weight: 45 kg, Warranty: 3 Years"
103,103-DT-MW,Dressing Table (Modern White),Bedroom,Dressing Tables,Modern,Engineered Wood,White High Gloss,Standard,15000,18000,https://picsum.photos/seed/103-dtmw/800,FALSE,4.4,67,"Modern white high-gloss dressing table with LED mirror","LED Mirror,High Gloss Finish,Soft Close Drawers,USB Charging","Dimensions: 100 x 40 x 150 cm, Weight: 35 kg, Warranty: 2 Years"
103,103-DT-OAK,Dressing Table (Oak Finish),Bedroom,Dressing Tables,Contemporary,Solid Wood,Natural Oak,Standard,22000,26000,https://picsum.photos/seed/103-dtoak/800,TRUE,4.8,134,"Premium oak dressing table with contemporary design","Natural Oak,Brass Handles,Large Mirror,Hidden Storage","Dimensions: 110 x 50 x 155 cm, Weight: 50 kg, Warranty: 5 Years"

104,104-NST-SET,Bedside Tables (Set of 2),Bedroom,Side Tables,Modern,Solid Wood,Walnut Finish,Standard,12000,15000,https://picsum.photos/seed/104-nstset/800,TRUE,4.7,156,"Set of 2 matching bedside tables with solid wood construction","Solid Wood,Metal Accents,Soft Close,Matching Set","Dimensions: 50 x 40 x 55 cm (Each), Weight: 18 kg (Set), Warranty: 3 Years"
104,104-NST-WH,Bedside Table (Single White),Bedroom,Side Tables,Modern,Engineered Wood,White Laminate,Standard,6500,8000,https://picsum.photos/seed/104-nstwh/800,FALSE,4.3,78,"Modern white bedside table with clean lines","Clean Design,Easy Assembly,Affordable,Drawer Storage","Dimensions: 45 x 35 x 50 cm, Weight: 12 kg, Warranty: 1 Year"

201,201-FG,L-Shaped Sofa (Fabric),Living Room,Sofas,Modern,Fabric,Charcoal Grey,5-Seater,85000,95000,https://picsum.photos/seed/201-fg/800,TRUE,4.8,156,"Luxurious L-shaped sectional sofa with premium fabric upholstery","Premium Fabric,Solid Wood Frame,Removable Cushions,Storage Compartment","Dimensions: 280 x 180 x 85 cm, Weight: 95 kg, Warranty: 3 Years"
201,201-VN,L-Shaped Sofa (Velvet),Living Room,Sofas,Modern,Velvet,Navy Blue,5-Seater,92000,105000,https://picsum.photos/seed/201-vn/800,TRUE,4.9,189,"Premium velvet L-shaped sofa with luxurious finish","Premium Velvet,Solid Wood Frame,Goose Down Cushions,Stain Resistant","Dimensions: 280 x 180 x 85 cm, Weight: 98 kg, Warranty: 3 Years"
201,201-LT,L-Shaped Sofa (Leatherette),Living Room,Sofas,Modern,Leatherette,Tan Brown,5-Seater,95000,110000,https://picsum.photos/seed/201-lt/800,TRUE,4.7,134,"Premium leatherette L-shaped sofa with contemporary design","Premium Leatherette,Solid Wood Frame,Easy Maintenance,Scratch Resistant","Dimensions: 280 x 180 x 85 cm, Weight: 102 kg, Warranty: 3 Years"
201,201-FG-7S,L-Shaped Sofa (Fabric),Living Room,Sofas,Modern,Fabric,Light Grey,7-Seater,105000,120000,https://picsum.photos/seed/201-fg7s/800,TRUE,4.8,201,"Extra large 7-seater L-shaped sofa for spacious living rooms","Premium Fabric,Extra Large,Modular Design,Cup Holders","Dimensions: 320 x 200 x 85 cm, Weight: 120 kg, Warranty: 3 Years"
201,201-LE-CR,L-Shaped Sofa (Leather),Living Room,Sofas,Luxury,Genuine Leather,Cognac,5-Seater,145000,165000,https://picsum.photos/seed/201-lecr/800,TRUE,4.9,112,"Luxury genuine leather L-shaped sofa with premium finish","Genuine Leather,Hand Stitched,Premium Hardwood Frame,Lifetime Frame Warranty","Dimensions: 280 x 180 x 85 cm, Weight: 110 kg, Warranty: 5 Years"

202,202-3S-FG,3-Seater Sofa (Fabric),Living Room,Sofas,Contemporary,Fabric,Forest Green,3-Seater,45000,52000,https://picsum.photos/seed/202-3sfg/800,FALSE,4.6,89,"Comfortable 3-seater sofa with forest green fabric","Premium Fabric,Solid Wood Frame,Removable Covers,Eco-Friendly","Dimensions: 190 x 90 x 85 cm, Weight: 55 kg, Warranty: 2 Years"
202,202-3S-VL,3-Seater Sofa (Velvet),Living Room,Sofas,Contemporary,Velvet,Lavender,3-Seater,52000,60000,https://picsum.photos/seed/202-3svl/800,TRUE,4.7,134,"Elegant 3-seater velvet sofa in beautiful lavender","Premium Velvet,Solid Wood Frame,Elegant Design,Stain Resistant","Dimensions: 190 x 90 x 85 cm, Weight: 58 kg, Warranty: 2 Years"

203,203-TV-MW,Modern TV Unit (White),Living Room,TV Units,Modern,Engineered Wood,White High Gloss,Large,25000,30000,https://picsum.photos/seed/203-tvmw/800,FALSE,4.5,123,"Modern white high-gloss TV unit with ample storage","High Gloss Finish,Cable Management,Adjustable Shelves,LED Compatible","Dimensions: 180 x 45 x 50 cm, Weight: 45 kg, Warranty: 2 Years"
203,203-TV-OAK,TV Unit (Oak Finish),Living Room,TV Units,Contemporary,Solid Wood,Natural Oak,Large,35000,42000,https://picsum.photos/seed/203-tvoak/800,TRUE,4.8,156,"Premium oak TV unit with contemporary design","Solid Oak,Brass Hardware,Cable Management,Soft Close","Dimensions: 200 x 50 x 55 cm, Weight: 65 kg, Warranty: 5 Years"
203,203-TV-BLK,TV Unit (Black Glass),Living Room,TV Units,Modern,Tempered Glass,Black,Large,28000,34000,https://picsum.photos/seed/203-tvblk/800,FALSE,4.4,98,"Sleek black tempered glass TV unit","Tempered Glass,Metal Frame,Cable Management,Modern Design","Dimensions: 160 x 40 x 45 cm, Weight: 35 kg, Warranty: 1 Year"

204,204-LR,Recliner Chair (Leatherette),Living Room,Chairs,Contemporary,Leatherette,Black,1-Seater,35000,40000,https://picsum.photos/seed/204-lr/800,TRUE,4.6,178,"Premium leatherette recliner with massage function","Massage Function,Electric Recline,USB Charging,Premium Leatherette","Dimensions: 95 x 100 x 105 cm, Weight: 45 kg, Warranty: 2 Years"
204,204-FR,Recliner Chair (Fabric),Living Room,Chairs,Contemporary,Fabric,Beige,1-Seater,32000,38000,https://picsum.photos/seed/204-fr/800,FALSE,4.5,134,"Comfortable fabric recliner with manual operation","Premium Fabric,Manual Recline,Comfortable Padding,Easy Maintenance","Dimensions: 95 x 100 x 105 cm, Weight: 42 kg, Warranty: 2 Years"
204,204-LR-BR,Recliner Chair (Leather),Living Room,Chairs,Luxury,Genuine Leather,Brown,1-Seater,65000,75000,https://picsum.photos/seed/204-lrbr/800,TRUE,4.9,89,"Luxury genuine leather recliner with premium features","Genuine Leather,Electric Recline,Massage & Heat,Premium Quality","Dimensions: 100 x 105 x 110 cm, Weight: 55 kg, Warranty: 5 Years"

205,205-CF-GL,Glass Coffee Table,Living Room,Coffee Tables,Modern,Tempered Glass,Clear,Large,15000,18000,https://picsum.photos/seed/205-cfgl/800,FALSE,4.3,67,"Modern tempered glass coffee table with metal frame","Tempered Glass,Metal Frame,Easy Clean,Space Saving","Dimensions: 120 x 60 x 45 cm, Weight: 25 kg, Warranty: 1 Year"
205,205-CF-WD,Wooden Coffee Table,Living Room,Coffee Tables,Traditional,Solid Wood,Walnut Finish,Large,22000,26000,https://picsum.photos/seed/205-cfwd/800,TRUE,4.7,145,"Traditional solid wood coffee table with storage","Solid Wood,Storage Compartment,Traditional Design,Premium Finish","Dimensions: 130 x 70 x 45 cm, Weight: 35 kg, Warranty: 3 Years"
205,205-CF-MAR,Marble Coffee Table,Living Room,Coffee Tables,Luxury,Marble,White Carrara,Large,45000,52000,https://picsum.photos/seed/205-cfmar/800,TRUE,4.8,78,"Luxury Carrara marble coffee table with metal base","Carrara Marble,Metal Base,Luxury Finish,Unique Veining","Dimensions: 140 x 80 x 45 cm, Weight: 65 kg, Warranty: 2 Years"

301,301-W6,Wooden Dining Set (6-Seater),Dining,Dining Sets,Traditional,Solid Wood,Teak Finish,6-Seater,65000,75000,https://picsum.photos/seed/301-w6/800,TRUE,4.9,189,"Elegant 6-seater dining set crafted from premium teak wood","Teak Wood,6 Seater,Cushioned Chairs,Expandable Table","Dimensions: 180 x 90 x 75 cm (Table), Weight: 120 kg, Warranty: 5 Years"
301,301-W8,Wooden Dining Set (8-Seater),Dining,Dining Sets,Traditional,Solid Wood,Teak Finish,8-Seater,78000,89000,https://picsum.photos/seed/301-w8/800,TRUE,4.8,134,"Spacious 8-seater teak dining set for large families","Teak Wood,8 Seater,Cushioned Chairs,Expandable Table","Dimensions: 220 x 100 x 75 cm (Table), Weight: 150 kg, Warranty: 5 Years"
301,301-W4,Wooden Dining Set (4-Seater),Dining,Dining Sets,Contemporary,Solid Wood,Oak Finish,4-Seater,45000,52000,https://picsum.photos/seed/301-w4/800,TRUE,4.6,112,"Compact 4-seater oak dining set perfect for small families","Oak Wood,4 Seater,Modern Design,Compact Size","Dimensions: 120 x 80 x 75 cm (Table), Weight: 80 kg, Warranty: 3 Years"

302,302-RT-4,Round Dining Table (4-Seater),Dining,Dining Tables,Modern,Solid Wood,White Oak,4-Seater,35000,40000,https://picsum.photos/seed/302-rt4/800,FALSE,4.5,89,"Modern round dining table in white oak finish","White Oak,Round Design,Pedestal Base,Elegant Finish","Dimensions: 120 x 120 x 75 cm, Weight: 45 kg, Warranty: 3 Years"
302,302-RT-6,Round Dining Table (6-Seater),Dining,Dining Tables,Modern,Solid Wood,Walnut,6-Seater,42000,48000,https://picsum.photos/seed/302-rt6/800,TRUE,4.7,156,"Spacious round dining table in rich walnut finish","Walnut Wood,Round Design,Sturdy Base,Premium Finish","Dimensions: 150 x 150 x 75 cm, Weight: 65 kg, Warranty: 3 Years"

303,303-DC-SET,Dining Chairs (Set of 4),Dining,Dining Chairs,Contemporary,Solid Wood,Grey Upholstery,Set of 4,20000,25000,https://picsum.photos/seed/303-dcset/800,FALSE,4.4,78,"Set of 4 contemporary dining chairs with grey upholstery","Solid Wood,Grey Upholstery,Comfortable Padding,Set of 4","Dimensions: 45 x 55 x 95 cm (Each), Weight: 32 kg (Set), Warranty: 2 Years"
303,303-DC-LEA,Dining Chairs (Leather),Dining,Dining Chairs,Luxury,Solid Wood,Black Leather,Set of 6,38000,45000,https://picsum.photos/seed/303-dclea/800,TRUE,4.8,134,"Luxury leather dining chairs set of 6","Solid Wood,Black Leather,High Back,Premium Quality","Dimensions: 50 x 60 x 100 cm (Each), Weight: 54 kg (Set), Warranty: 3 Years"

304,304-BF-OAK,Buffet Cabinet (Oak),Dining,Storage,Traditional,Solid Wood,Natural Oak,Large,55000,65000,https://picsum.photos/seed/304-bfoak/800,TRUE,4.7,89,"Traditional oak buffet cabinet with ample storage","Solid Oak,Multiple Compartments,Wine Storage,Traditional Design","Dimensions: 180 x 45 x 90 cm, Weight: 75 kg, Warranty: 5 Years"
304,304-BF-WH,Buffet Cabinet (White),Dining,Storage,Modern,Engineered Wood,White High Gloss,Large,42000,48000,https://picsum.photos/seed/304-bfwh/800,FALSE,4.5,67,"Modern white high-gloss buffet cabinet","High Gloss Finish,Soft Close,LED Lighting,Modern Design","Dimensions: 160 x 40 x 85 cm, Weight: 55 kg, Warranty: 2 Years"

401,401-LB,Executive Chair (High-Back Leather),Office,Office Chairs,Professional,Leather,Black,High-Back,25000,30000,https://picsum.photos/seed/401-lb/800,TRUE,4.8,201,"Premium high-back leather executive chair with ergonomic design","Genuine Leather,Ergonomic Design,Height Adjustable,360Â° Swivel","Dimensions: 70 x 70 x 110-120 cm, Weight: 25 kg, Warranty: 3 Years"
401,401-MB,Executive Chair (Mid-Back Mesh),Office,Office Chairs,Professional,Mesh,Grey,Mid-Back,21000,26000,https://picsum.photos/seed/401-mb/800,FALSE,4.6,156,"Breathable mesh executive chair with lumbar support","Mesh Back,Lumbar Support,Height Adjustable,Breathable","Dimensions: 65 x 65 x 100-110 cm, Weight: 18 kg, Warranty: 2 Years"
401,401-ER-WH,Ergonomic Chair (White),Office,Office Chairs,Modern,Mesh,White,High-Back,28000,34000,https://picsum.photos/seed/401-erwh/800,TRUE,4.7,134,"Modern white ergonomic chair with advanced features","Ergonomic Design,Adjustable Headrest,Lumbar Support,White Mesh","Dimensions: 68 x 68 x 115-125 cm, Weight: 22 kg, Warranty: 3 Years"

402,402-OD-L,L-Shaped Office Desk,Office,Office Desks,Professional,Engineered Wood,Dark Walnut,Large,35000,40000,https://picsum.photos/seed/402-odl/800,FALSE,4.5,112,"Spacious L-shaped office desk with cable management","L-Shaped Design,Cable Management,Multiple Drawers,Dark Walnut","Dimensions: 160 x 120 x 75 cm, Weight: 65 kg, Warranty: 2 Years"
402,402-OD-ST,Standing Desk (Adjustable),Office,Office Desks,Modern,Steel,White,Medium,45000,52000,https://picsum.photos/seed/402-odst/800,TRUE,4.8,89,"Electric height-adjustable standing desk","Electric Height Adjustment,Memory Settings,Cable Management,Ergonomic","Dimensions: 140 x 70 x 65-130 cm, Weight: 45 kg, Warranty: 3 Years"
402,402-OD-EX,Executive Desk (Premium),Office,Office Desks,Luxury,Solid Wood,Mahogany,Extra Large,85000,98000,https://picsum.photos/seed/402-odex/800,TRUE,4.9,67,"Luxury mahogany executive desk with premium features","Solid Mahogany,Brass Hardware,Multiple Drawers,Premium Quality","Dimensions: 200 x 100 x 75 cm, Weight: 120 kg, Warranty: 10 Years"

403,403-CT-8,Conference Table (8-Seater),Office,Conference Tables,Professional,Engineered Wood,Dark Oak,8-Seater,55000,65000,https://picsum.photos/seed/403-ct8/800,FALSE,4.6,78,"Professional 8-seater conference table with cable management","Cable Management,Dark Oak Finish,Sturdy Construction,Professional Design","Dimensions: 240 x 120 x 75 cm, Weight: 85 kg, Warranty: 3 Years"
403,403-CT-12,Conference Table (12-Seater),Office,Conference Tables,Professional,Solid Wood,Walnut,12-Seater,95000,110000,https://picsum.photos/seed/403-ct12/800,TRUE,4.8,56,"Large 12-seater solid walnut conference table","Solid Walnut,Premium Quality,Cable Management,Large Size","Dimensions: 360 x 140 x 75 cm, Weight: 150 kg, Warranty: 5 Years"

404,404-OF-3D,Office Storage (3-Door),Office,Storage,Professional,Steel,Grey,Large,18000,22000,https://picsum.photos/seed/404-of3d/800,FALSE,4.3,89,"Durable steel office storage cabinet","Steel Construction,3 Doors,Adjustable Shelves,Locking System","Dimensions: 90 x 40 x 180 cm, Weight: 45 kg, Warranty: 2 Years"
404,404-OF-WD,Office Storage (Wooden),Office,Storage,Professional,Solid Wood,Oak Finish,Large,32000,38000,https://picsum.photos/seed/404-ofwd/800,TRUE,4.7,67,"Premium wooden office storage with oak finish","Solid Wood,Oak Finish,Multiple Compartments,Premium Hardware","Dimensions: 120 x 50 x 200 cm, Weight: 75 kg, Warranty: 5 Years"

501,501-BP,Bunk Bed (Pine Wood),Kids,Bunk Beds,Kids,Pine Wood,Natural Pine,Twin,35000,40000,https://picsum.photos/seed/501-bp/800,FALSE,4.5,134,"Safe and sturdy pine wood bunk bed for kids","Pine Wood,Safety Rails,Ladder,Natural Finish","Dimensions: 105 x 205 x 155 cm, Weight: 65 kg, Warranty: 3 Years"
501,501-BW,Bunk Bed (MDF),Kids,Bunk Beds,Kids,MDF,White & Blue,Twin,32000,38000,https://picsum.photos/seed/501-bw/800,FALSE,4.4,98,"Colorful MDF bunk bed in white and blue","MDF Construction,Colorful Design,Safety Features,Easy Assembly","Dimensions: 105 x 205 x 155 cm, Weight: 55 kg, Warranty: 2 Years"
501,501-BL-ST,Bunk Bed (Storage),Kids,Bunk Beds,Kids,Engineered Wood,Pink & White,Twin,38000,45000,https://picsum.photos/seed/501-blst/800,TRUE,4.6,112,"Bunk bed with built-in storage and study area","Built-in Storage,Study Area,Safety Rails,Pink & White","Dimensions: 120 x 210 x 180 cm, Weight: 75 kg, Warranty: 3 Years"

502,502-ST-CH,Study Table with Chair,Kids,Study Sets,Kids,Engineered Wood,Blue & White,Standard,15000,18000,https://picsum.photos/seed/502-stch/800,FALSE,4.3,89,"Ergonomic study table and chair set for kids","Ergonomic Design,Height Adjustable,Blue & White,Storage Compartments","Dimensions: 100 x 60 x 75 cm (Table), Weight: 25 kg, Warranty: 2 Years"
502,502-ST-PK,Study Table (Pink),Kids,Study Tables,Kids,Engineered Wood,Pink,Standard,12000,15000,https://picsum.photos/seed/502-stpk/800,FALSE,4.2,67,"Cute pink study table with multiple drawers","Pink Finish,Multiple Drawers,Kid-Friendly Design,Easy Maintenance","Dimensions: 90 x 50 x 75 cm, Weight: 18 kg, Warranty: 2 Years"
502,502-ST-WH,Study Table (White),Kids,Study Tables,Kids,Solid Wood,White,Standard,18000,22000,https://picsum.photos/seed/502-stwh/800,TRUE,4.5,78,"Premium white solid wood study table","Solid Wood,White Finish,Premium Quality,Adjustable Height","Dimensions: 110 x 60 x 75 cm, Weight: 28 kg, Warranty: 3 Years"

503,503-KW-UNI,Kids Wardrobe (Unicorn),Kids,Wardrobes,Kids,Engineered Wood,Pink & Purple,Standard,25000,30000,https://picsum.photos/seed/503-kwuni/800,FALSE,4.4,56,"Colorful unicorn-themed wardrobe for kids","Unicorn Theme,Pink & Purple,Kid-Safe,Multiple Compartments","Dimensions: 120 x 50 x 180 cm, Weight: 45 kg, Warranty: 2 Years"
503,503-KW-CAR,Kids Wardrobe (Car Theme),Kids,Wardrobes,Kids,Engineered Wood,Red & Blue,Standard,26000,32000,https://picsum.photos/seed/503-kwcar/800,FALSE,4.5,67,"Fun car-themed wardrobe for boys","Car Theme,Red & Blue,Safety Features,Easy Access","Dimensions: 120 x 50 x 180 cm, Weight: 47 kg, Warranty: 2 Years"

504,504-KB-CAR,Kids Bed (Car Shape),Kids,Kids Beds,Kids,Engineered Wood,Red,Single,22000,26000,https://picsum.photos/seed/504-kbcar/800,TRUE,4.6,89,"Fun car-shaped bed for kids","Car Design,Safety Features,Red Color,Kid-Friendly","Dimensions: 200 x 90 x 50 cm, Weight: 35 kg, Warranty: 2 Years"
504,504-KB-PRI,Kids Bed (Princess),Kids,Kids Beds,Kids,Engineered Wood,Pink & Gold,Single,24000,28000,https://picsum.photos/seed/504-kbpri/800,TRUE,4.7,78,"Beautiful princess-themed bed for girls","Princess Theme,Pink & Gold,Safety Rails,Elegant Design","Dimensions: 200 x 90 x 100 cm, Weight: 38 kg, Warranty: 2 Years"

601,601-GD-6,Garden Dining Set (6-Seater),Outdoor,Dining Sets,Outdoor,Teak Wood,Natural Teak,6-Seater,45000,50000,https://picsum.photos/seed/601-gd6/800,FALSE,4.5,67,"Weather-resistant teak garden dining set","Teak Wood,Weather Resistant,6 Seater,Natural Finish","Dimensions: 150 x 90 x 75 cm (Table), Weight: 80 kg, Warranty: 3 Years"
601,601-GD-8,Garden Dining Set (8-Seater),Outdoor,Dining Sets,Outdoor,Teak Wood,Natural Teak,8-Seater,58000,65000,https://picsum.photos/seed/601-gd8/800,TRUE,4.6,45,"Large teak garden dining set for 8 people","Teak Wood,Weather Resistant,8 Seater,Premium Quality","Dimensions: 200 x 100 x 75 cm (Table), Weight: 120 kg, Warranty: 3 Years"

602,602-PR-2,Patio Recliner Set (2-Seater),Outdoor,Patio Sets,Outdoor,Aluminum,Charcoal,2-Seater,35000,40000,https://picsum.photos/seed/602-pr2/800,FALSE,4.4,78,"Comfortable aluminum patio recliner set","Aluminum Frame,Weather Resistant,Reclining Feature,Charcoal Color","Dimensions: 200 x 70 x 40-100 cm (Each), Weight: 45 kg, Warranty: 2 Years"
602,602-PR-4,Patio Recliner Set (4-Seater),Outdoor,Patio Sets,Outdoor,Aluminum,Brown,4-Seater,58000,68000,https://picsum.photos/seed/602-pr4/800,TRUE,4.6,56,"Spacious 4-seater patio recliner set","Aluminum Frame,Weather Resistant,4 Recliners,Brown Finish","Dimensions: 200 x 70 x 40-100 cm (Each), Weight: 85 kg, Warranty: 2 Years"

603,603-OL-4,Outdoor Lounge Set (4-Piece),Outdoor,Lounge Sets,Outdoor,Rattan,Natural,4-Piece,65000,75000,https://picsum.photos/seed/603-ol4/800,FALSE,4.5,89,"Elegant rattan outdoor lounge set","Rattan Construction,Weather Resistant,4-Piece Set,Natural Color","Dimensions: Various, Total Weight: 95 kg, Warranty: 2 Years"
603,603-OL-6,Outdoor Lounge Set (6-Piece),Outdoor,Lounge Sets,Outdoor,Rattan,Brown,6-Piece,85000,98000,https://picsum.photos/seed/603-ol6/800,TRUE,4.7,67,"Luxury 6-piece rattan outdoor lounge set","Rattan Construction,Weather Resistant,6-Piece Set,Brown Finish","Dimensions: Various, Total Weight: 140 kg, Warranty: 3 Years"

604,604-GS-TK,Garden Swing (Teak),Outdoor,Garden Furniture,Outdoor,Teak Wood,Natural Teak,3-Seater,28000,34000,https://picsum.photos/seed/604-gstk/800,TRUE,4.6,45,"Relaxing teak wood garden swing","Teak Wood,3-Seater,Weather Resistant,Comfortable Cushions","Dimensions: 180 x 120 x 200 cm, Weight: 65 kg, Warranty: 3 Years"
604,604-GS-MT,Garden Swing (Metal),Outdoor,Garden Furniture,Outdoor,Steel,Green,2-Seater,22000,26000,https://picsum.photos/seed/604-gsmt/800,FALSE,4.3,67,"Durable steel garden swing with canopy","Steel Frame,2-Seater,Canopy,Green Color","Dimensions: 150 x 100 x 180 cm, Weight: 45 kg, Warranty: 2 Years"

605,605-OU-TBL,Outdoor Coffee Table,Outdoor,Outdoor Tables,Outdoor,Teak Wood,Natural Teak,Standard,18000,22000,https://picsum.photos/seed/605-outbl/800,FALSE,4.4,56,"Weather-resistant teak outdoor coffee table","Teak Wood,Weather Resistant,Elegant Design,Natural Finish","Dimensions: 100 x 60 x 45 cm, Weight: 25 kg, Warranty: 3 Years"
605,605-OU-SIDE,Outdoor Side Table,Outdoor,Outdoor Tables,Outdoor,Aluminum,Black,Small,8000,10000,https://picsum.photos/seed/605-ouside/800,FALSE,4.2,34,"Compact aluminum outdoor side table","Aluminum Construction,Black Finish,Compact Size,Weather Resistant","Dimensions: 50 x 50 x 50 cm, Weight: 8 kg, Warranty: 1 Year"